Node,X,Y,Z,U1 @ 0.0,U2 @ 0.0,U3 @ 0.0,U1 @ 0.1,U2 @ 0.1,U3 @ 0.1,U1 @ 0.15,U2 @ 0.15,U3 @ 0.15,U1 @ 0.2,U2 @ 0.2,U3 @ 0.2,U1 @ 0.25,U2 @ 0.25,U3 @ 0.25,U1 @ 0.3,U2 @ 0.3,U3 @ 0.3,U1 @ 0.35,U2 @ 0.35,U3 @ 0.35,U1 @ 0.4,U2 @ 0.4,U3 @ 0.4,U1 @ 0.41,U2 @ 0.41,U3 @ 0.41,U1 @ 0.42,U2 @ 0.42,U3 @ 0.42,U1 @ 0.43,U2 @ 0.43,U3 @ 0.43,U1 @ 0.44,U2 @ 0.44,U3 @ 0.44,U1 @ 0.45,U2 @ 0.45,U3 @ 0.45,U1 @ 0.46,U2 @ 0.46,U3 @ 0.46,U1 @ 0.47,U2 @ 0.47,U3 @ 0.47,U1 @ 0.48,U2 @ 0.48,U3 @ 0.48,U1 @ 0.49,U2 @ 0.49,U3 @ 0.49,U1 @ 0.5,U2 @ 0.5,U3 @ 0.5,U1 @ 0.51,U2 @ 0.51,U3 @ 0.51,U1 @ 0.52,U2 @ 0.52,U3 @ 0.52,U1 @ 0.53,U2 @ 0.53,U3 @ 0.53,U1 @ 0.54,U2 @ 0.54,U3 @ 0.54,U1 @ 0.55,U2 @ 0.55,U3 @ 0.55,U1 @ 0.56,U2 @ 0.56,U3 @ 0.56,U1 @ 0.57,U2 @ 0.57,U3 @ 0.57,U1 @ 0.58,U2 @ 0.58,U3 @ 0.58,U1 @ 0.59,U2 @ 0.59,U3 @ 0.59,U1 @ 0.6,U2 @ 0.6,U3 @ 0.6,U1 @ 0.61,U2 @ 0.61,U3 @ 0.61,U1 @ 0.62,U2 @ 0.62,U3 @ 0.62,U1 @ 0.63,U2 @ 0.63,U3 @ 0.63,U1 @ 0.64,U2 @ 0.64,U3 @ 0.64,U1 @ 0.65,U2 @ 0.65,U3 @ 0.65,U1 @ 0.66,U2 @ 0.66,U3 @ 0.66,U1 @ 0.67,U2 @ 0.67,U3 @ 0.67,U1 @ 0.68,U2 @ 0.68,U3 @ 0.68,U1 @ 0.69,U2 @ 0.69,U3 @ 0.69,U1 @ 0.7,U2 @ 0.7,U3 @ 0.7,U1 @ 0.71,U2 @ 0.71,U3 @ 0.71,U1 @ 0.72,U2 @ 0.72,U3 @ 0.72,U1 @ 0.73,U2 @ 0.73,U3 @ 0.73,U1 @ 0.74,U2 @ 0.74,U3 @ 0.74,U1 @ 0.75,U2 @ 0.75,U3 @ 0.75,U1 @ 0.76,U2 @ 0.76,U3 @ 0.76,U1 @ 0.77,U2 @ 0.77,U3 @ 0.77,U1 @ 0.78,U2 @ 0.78,U3 @ 0.78,U1 @ 0.79,U2 @ 0.79,U3 @ 0.79,U1 @ 0.8,U2 @ 0.8,U3 @ 0.8,U1 @ 0.81,U2 @ 0.81,U3 @ 0.81,U1 @ 0.82,U2 @ 0.82,U3 @ 0.82,U1 @ 0.83,U2 @ 0.83,U3 @ 0.83,U1 @ 0.84,U2 @ 0.84,U3 @ 0.84,U1 @ 0.85,U2 @ 0.85,U3 @ 0.85,U1 @ 0.86,U2 @ 0.86,U3 @ 0.86,U1 @ 0.87,U2 @ 0.87,U3 @ 0.87,U1 @ 0.88,U2 @ 0.88,U3 @ 0.88,U1 @ 0.89,U2 @ 0.89,U3 @ 0.89,U1 @ 0.9,U2 @ 0.9,U3 @ 0.9,U1 @ 0.91,U2 @ 0.91,U3 @ 0.91,U1 @ 0.92,U2 @ 0.92,U3 @ 0.92,U1 @ 0.93,U2 @ 0.93,U3 @ 0.93,U1 @ 0.94,U2 @ 0.94,U3 @ 0.94,U1 @ 0.95,U2 @ 0.95,U3 @ 0.95,U1 @ 0.96,U2 @ 0.96,U3 @ 0.96,U1 @ 0.97,U2 @ 0.97,U3 @ 0.97,U1 @ 0.98,U2 @ 0.98,U3 @ 0.98,U1 @ 0.99,U2 @ 0.99,U3 @ 0.99
3,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07526212,0.0,0.0,0.12749699,0.0,0.0,0.17373855,0.0,0.0,0.20995392,0.0,0.0,0.23515193,0.0,0.0,0.24837805,0.0,0.0,0.2495435,0.0,0.0,0.25011903,0.0,0.0,0.25011376,0.0,0.0,0.24951969,0.0,0.0,0.24842882,0.0,0.0,0.24674082,0.0,0.0,0.24438582,0.0,0.0,0.24144933,0.0,0.0,0.23790939,0.0,0.0,0.23369707,0.0,0.0,0.22867474,0.0,0.0,0.22271262,0.0,0.0,0.21493769,0.0,0.0,0.20193583,0.0,0.0,0.1680305,0.0,0.0,0.026156457,0.0,0.0,-1.0337195,0.0,0.0,-1.8310387,0.0,0.0,-1.8666278,0.0,0.0,-1.8729186,0.0,0.0,-1.8729557,0.0,0.0,-1.8781637,0.0,0.0,-1.8747754,0.0,0.0,-1.878278,0.0,0.0,-1.8853235,0.0,0.0,-1.885363,0.0,0.0,-1.8930085,0.0,0.0,-1.8989676,0.0,0.0,-1.8963096,0.0,0.0,-1.9014266,0.0,0.0,-1.8986824,0.0,0.0,-1.9041864,0.0,0.0,-1.9170998,0.0,0.0,-1.919395,0.0,0.0,-1.9212706,0.0,0.0,-1.9255729,0.0,0.0,-1.9271342,0.0,0.0,-1.9207016,0.0,0.0,-1.9264826,0.0,0.0,-1.9267558,0.0,0.0,-1.9322475,0.0,0.0,-1.9345462,0.0,0.0,-1.9323603,0.0,0.0,-1.9430401,0.0,0.0,-1.9428298,0.0,0.0,-1.9484143,0.0,0.0,-1.9406117,0.0,0.0,-1.9468113,0.0,0.0,-1.9512376,0.0,0.0,-1.950986,0.0,0.0,-1.9622159,0.0,0.0,-1.9623243,0.0,0.0,-1.9705478,0.0,0.0,-1.9725167,0.0,0.0,-1.9800442,0.0,0.0,-1.9797914,0.0,0.0,-2.0019906,0.0,0.0,-1.9883627,0.0,0.0,-1.9802963,0.0
4,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15208888,0.0,0.0,0.33070493,0.0,0.0,0.51670545,0.0,0.0,0.7148096,0.0,0.0,0.9266782,0.0,0.0,1.1545032,0.0,0.0,1.2022145,0.0,0.0,1.2506604,0.0,0.0,1.2999285,0.0,0.0,1.3500679,0.0,0.0,1.4009694,0.0,0.0,1.4528342,0.0,0.0,1.5056262,0.0,0.0,1.5594419,0.0,0.0,1.614313,0.0,0.0,1.67035,0.0,0.0,1.72795,0.0,0.0,1.7876467,0.0,0.0,1.851508,0.0,0.0,1.9259017,0.0,0.0,2.0335472,0.0,0.0,2.2586792,0.0,0.0,2.8117197,0.0,0.0,2.9443336,0.0,0.0,2.8997412,0.0,0.0,2.9436269,0.0,0.0,2.9800012,0.0,0.0,2.9451585,0.0,0.0,2.9573638,0.0,0.0,2.982095,0.0,0.0,2.9946961,0.0,0.0,2.9881914,0.0,0.0,2.991437,0.0,0.0,3.0188189,0.0,0.0,3.029983,0.0,0.0,3.0411046,0.0,0.0,3.0680833,0.0,0.0,3.083616,0.0,0.0,3.104804,0.0,0.0,3.1274886,0.0,0.0,3.15185,0.0,0.0,3.1799664,0.0,0.0,3.1985834,0.0,0.0,3.2325487,0.0,0.0,3.2572596,0.0,0.0,3.2868977,0.0,0.0,3.316948,0.0,0.0,3.3463328,0.0,0.0,3.3746238,0.0,0.0,3.4131718,0.0,0.0,3.4517617,0.0,0.0,3.4882855,0.0,0.0,3.5332117,0.0,0.0,3.5779436,0.0,0.0,3.6195974,0.0,0.0,3.6691687,0.0,0.0,3.723608,0.0,0.0,3.7851138,0.0,0.0,3.8822253,0.0,0.0,3.9740572,0.0,0.0,4.0477924,0.0,0.0,4.112638,0.0,0.0,4.168753,0.0,0.0,4.2161236,0.0,0.0,4.2693563,0.0,0.0
6,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07526889,0.0,0.0,0.12748723,0.0,0.0,0.17373091,0.0,0.0,0.20995007,0.0,0.0,0.23515,0.0,0.0,0.24837606,0.0,0.0,0.24954168,0.0,0.0,0.250117,0.0,0.0,0.25011057,0.0,0.0,0.24951941,0.0,0.0,0.248428,0.0,0.0,0.24673967,0.0,0.0,0.24438593,0.0,0.0,0.24145082,0.0,0.0,0.23791064,0.0,0.0,0.2336993,0.0,0.0,0.22867686,0.0,0.0,0.22271319,0.0,0.0,0.21493892,0.0,0.0,0.20194377,0.0,0.0,0.16804747,0.0,0.0,0.026206573,0.0,0.0,-1.0311798,0.0,0.0,-1.7749888,0.0,0.0,-1.8283609,0.0,0.0,-1.8019745,0.0,0.0,-1.8196158,0.0,0.0,-1.8174951,0.0,0.0,-1.8262603,0.0,0.0,-1.8186315,0.0,0.0,-1.8456478,0.0,0.0,-1.8336692,0.0,0.0,-1.8366736,0.0,0.0,-1.8403342,0.0,0.0,-1.8329309,0.0,0.0,-1.8423928,0.0,0.0,-1.8429499,0.0,0.0,-1.8446412,0.0,0.0,-1.8471233,0.0,0.0,-1.855451,0.0,0.0,-1.8531828,0.0,0.0,-1.8646954,0.0,0.0,-1.8620508,0.0,0.0,-1.8577027,0.0,0.0,-1.8519208,0.0,0.0,-1.8534844,0.0,0.0,-1.8553923,0.0,0.0,-1.8666865,0.0,0.0,-1.8527969,0.0,0.0,-1.850139,0.0,0.0,-1.8432033,0.0,0.0,-1.8536739,0.0,0.0,-1.8655255,0.0,0.0,-1.8571458,0.0,0.0,-1.859621,0.0,0.0,-1.8547561,0.0,0.0,-1.8430187,0.0,0.0,-1.8575997,0.0,0.0,-1.860178,0.0,0.0,-1.8580487,0.0,0.0,-1.851534,0.0,0.0,-1.8582077,0.0,0.0,-1.8473259,0.0,0.0,-1.8540132,0.0,0.0,-1.8362408,0.0
7,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1520908,0.0,0.0,0.33069462,0.0,0.0,0.51669556,0.0,0.0,0.7147974,0.0,0.0,0.92666507,0.0,0.0,1.1544886,0.0,0.0,1.2022012,0.0,0.0,1.2506497,0.0,0.0,1.2999127,0.0,0.0,1.3500534,0.0,0.0,1.400956,0.0,0.0,1.4528203,0.0,0.0,1.5056124,0.0,0.0,1.5594267,0.0,0.0,1.614299,0.0,0.0,1.6703368,0.0,0.0,1.7279346,0.0,0.0,1.7876333,0.0,0.0,1.8514951,0.0,0.0,1.9258941,0.0,0.0,2.0335264,0.0,0.0,2.258761,0.0,0.0,2.8118904,0.0,0.0,2.9449537,0.0,0.0,2.8995028,0.0,0.0,2.9449592,0.0,0.0,2.9786224,0.0,0.0,2.9439178,0.0,0.0,2.9596016,0.0,0.0,2.9841502,0.0,0.0,2.9968596,0.0,0.0,2.9893143,0.0,0.0,2.9944196,0.0,0.0,3.0211408,0.0,0.0,3.030977,0.0,0.0,3.0436594,0.0,0.0,3.0678928,0.0,0.0,3.0836687,0.0,0.0,3.1052656,0.0,0.0,3.126288,0.0,0.0,3.1485324,0.0,0.0,3.1783156,0.0,0.0,3.1973011,0.0,0.0,3.2299366,0.0,0.0,3.254371,0.0,0.0,3.2856822,0.0,0.0,3.3153634,0.0,0.0,3.3447511,0.0,0.0,3.3732884,0.0,0.0,3.411964,0.0,0.0,3.45038,0.0,0.0,3.4884253,0.0,0.0,3.53024,0.0,0.0,3.5773494,0.0,0.0,3.6222813,0.0,0.0,3.6728055,0.0,0.0,3.727075,0.0,0.0,3.789915,0.0,0.0,3.887184,0.0,0.0,3.9772859,0.0,0.0,4.0531726,0.0,0.0,4.1165147,0.0,0.0,4.175001,0.0,0.0,4.224432,0.0,0.0,4.273778,0.0,0.0
238,0.23397835,29.999367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040343415,0.07524674,0.0,0.0009152771,0.12746897,0.0,0.001475607,0.1737344,0.0,0.0020803877,0.20995024,0.0,0.002725847,0.23515499,0.0,0.0034148186,0.24838257,0.0,0.0035537635,0.24954899,0.0,0.0036939236,0.25012797,0.0,0.0038379235,0.25012085,0.0,0.0039865426,0.24953029,0.0,0.0041317022,0.24843845,0.0,0.0042751143,0.24675174,0.0,0.004422149,0.24439812,0.0,0.00457604,0.24146423,0.0,0.0047263815,0.2379264,0.0,0.004868576,0.2337156,0.0,0.0050132493,0.22869448,0.0,0.0051329564,0.22273847,0.0,0.0051588975,0.21498163,0.0,0.0048037223,0.2020578,0.0,0.0026371651,0.16849941,0.0,-0.009190109,0.028434632,0.0,-0.115418054,-0.89803344,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0,-0.33397865,-1.4670273,0.0
239,0.4679496,29.997465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008123001,0.075261295,0.0,0.0018377285,0.12749934,0.0,0.0029666726,0.17375608,0.0,0.004179524,0.20998202,0.0,0.0054653133,0.2351944,0.0,0.006844392,0.24843429,0.0,0.0071254126,0.24960284,0.0,0.0074029276,0.25018185,0.0,0.0076881903,0.2501782,0.0,0.007983933,0.24959049,0.0,0.008279054,0.24850321,0.0,0.008564923,0.24681883,0.0,0.008858801,0.24446778,0.0,0.009167808,0.24153565,0.0,0.009465855,0.23800127,0.0,0.009753675,0.233794,0.0,0.010043825,0.22878164,0.0,0.0102889035,0.22284146,0.0,0.010340231,0.21514058,0.0,0.009637064,0.20243242,0.0,0.005367782,0.16986872,0.0,-0.017884983,0.035234082,0.0,-0.19690627,-0.8192041,0.0,-0.4639633,-1.159408,0.0,-0.46610188,-1.2558846,0.0,-0.5080703,-1.216579,0.0,-0.51274043,-1.2237853,0.0,-0.54103285,-1.2227129,0.0,-0.5510515,-1.214427,0.0,-0.5397232,-1.1959435,0.0,-0.55926687,-1.2274189,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059475,0.0,-0.5679493,-1.2059115,0.0
240,0.7019075,29.994297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012160655,0.07526476,0.0,0.0027543379,0.12750961,0.0,0.004447569,0.1737856,0.0,0.006262315,0.21002772,0.0,0.008192576,0.23525941,0.0,0.010260365,0.24851286,0.0,0.010681582,0.24968623,0.0,0.011099113,0.25027102,0.0,0.0115282275,0.25027037,0.0,0.011969967,0.2496846,0.0,0.012414266,0.24860094,0.0,0.012841894,0.24692056,0.0,0.013282854,0.24457386,0.0,0.0137453405,0.24164678,0.0,0.014194818,0.2381184,0.0,0.014625532,0.23391907,0.0,0.015058065,0.22891557,0.0,0.015427318,0.2230046,0.0,0.015513223,0.21539696,0.0,0.014491358,0.203051,0.0,0.008254566,0.17212999,0.0,-0.025735248,0.046260674,0.0,-0.26518884,-0.70435166,0.0,-0.47965539,-0.8423206,0.0,-0.51368695,-0.99003214,0.0,-0.5519333,-0.89264107,0.0,-0.5691474,-0.9083133,0.0,-0.5993529,-0.9083345,0.0,-0.6175399,-0.8862798,0.0,-0.5971732,-0.86411625,0.0,-0.6266838,-0.9072949,0.0,-0.655318,-0.85758793,0.0,-0.66278255,-0.8643297,0.0,-0.68420345,-0.8601422,0.0,-0.68373936,-0.8299565,0.0,-0.6818659,-0.8436501,0.0,-0.6918455,-0.8400785,0.0,-0.6906336,-0.835192,0.0,-0.69591033,-0.82966137,0.0,-0.6979415,-0.83397466,0.0,-0.69796675,-0.82904726,0.0,-0.7001505,-0.8266896,0.0,-0.7011011,-0.8367159,0.0,-0.7050386,-0.8251983,0.0,-0.70546794,-0.81917065,0.0,-0.7031222,-0.81038034,0.0,-0.70513564,-0.8189389,0.0,-0.7059466,-0.81099516,0.0,-0.7060178,-0.7999771,0.0,-0.7055405,-0.80225027,0.0,-0.7043695,-0.8023357,0.0,-0.7019204,-0.7954973,0.0,-0.70243084,-0.800279,0.0,-0.6979061,-0.79679185,0.0,-0.6933204,-0.79601926,0.0,-0.68896145,-0.7938869,0.0,-0.68186945,-0.7937318,0.0,-0.6823215,-0.79113925,0.0,-0.6762813,-0.79351306,0.0,-0.67436934,-0.7903697,0.0,-0.66828954,-0.7879127,0.0,-0.66420794,-0.7859548,0.0,-0.6626662,-0.7803542,0.0,-0.6599332,-0.7780313,0.0,-0.65648556,-0.7883526,0.0
241,0.9358445,29.989862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016232167,0.075274706,0.0,0.0036699777,0.12754405,0.0,0.0059233145,0.1738344,0.0,0.008343694,0.21009822,0.0,0.010914669,0.23535077,0.0,0.013669652,0.24863058,0.0,0.0142330425,0.24980773,0.0,0.014789625,0.25039703,0.0,0.015362626,0.2504021,0.0,0.015952196,0.24982433,0.0,0.01654211,0.24874552,0.0,0.017109895,0.24707249,0.0,0.017700937,0.24473123,0.0,0.018316451,0.2418105,0.0,0.018911907,0.23828931,0.0,0.019492686,0.23409873,0.0,0.020070722,0.22911364,0.0,0.020564904,0.22324182,0.0,0.020696977,0.21576037,0.0,0.019390967,0.2039033,0.0,0.011376079,0.17520486,0.0,-0.03241029,0.06122069,0.0,-0.31979108,-0.59437007,0.0,-0.47214133,-0.6496007,0.0,-0.5357849,-0.8216716,0.0,-0.5640725,-0.71441346,0.0,-0.59150064,-0.7272086,0.0,-0.6238462,-0.70856214,0.0,-0.6452781,-0.6785918,0.0,-0.6224041,-0.6653839,0.0,-0.6702724,-0.70488596,0.0,-0.6939614,-0.6388765,0.0,-0.70568746,-0.65106285,0.0,-0.7355778,-0.64042276,0.0,-0.72032166,-0.59922457,0.0,-0.7237926,-0.6225078,0.0,-0.73654944,-0.61467105,0.0,-0.7312109,-0.60374707,0.0,-0.73884726,-0.59270847,0.0,-0.74479747,-0.5957523,0.0,-0.74386394,-0.5877372,0.0,-0.7461229,-0.5943527,0.0,-0.75134116,-0.60312015,0.0,-0.75306636,-0.5877696,0.0,-0.7512314,-0.58713615,0.0,-0.74329346,-0.5682894,0.0,-0.74509543,-0.5820433,0.0,-0.7471722,-0.5715164,0.0,-0.7457595,-0.55928457,0.0,-0.74030906,-0.5594783,0.0,-0.74337375,-0.5575571,0.0,-0.7375431,-0.5560967,0.0,-0.7366349,-0.5606112,0.0,-0.72750366,-0.5475303,0.0,-0.7236363,-0.54916626,0.0,-0.7184256,-0.54053533,0.0,-0.7091409,-0.5351195,0.0,-0.698592,-0.5379658,0.0,-0.6932406,-0.53208256,0.0,-0.68948996,-0.5343543,0.0,-0.68448156,-0.52718925,0.0,-0.67937595,-0.5240008,0.0,-0.6708711,-0.52316725,0.0,-0.667608,-0.5179256,0.0,-0.6666526,-0.5178265,0.0
242,1.169754,29.98416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020343503,0.075290985,0.0,0.0045884354,0.12756991,0.0,0.0074081826,0.17388423,0.0,0.010428852,0.21017426,0.0,0.013641611,0.23546048,0.0,0.017085698,0.24877012,0.0,0.017787717,0.24995352,0.0,0.018483413,0.2505513,0.0,0.01919913,0.25056288,0.0,0.019935418,0.24999136,0.0,0.020673277,0.24892105,0.0,0.021385731,0.24725428,0.0,0.02212185,0.24492219,0.0,0.022892399,0.24200957,0.0,0.023637632,0.2384969,0.0,0.024362566,0.23431964,0.0,0.025085296,0.22935377,0.0,0.025710043,0.22353202,0.0,0.025896667,0.21620879,0.0,0.024366546,0.20496179,0.0,0.01481378,0.17902833,0.0,-0.03748271,0.07961746,0.0,-0.3644441,-0.47489524,0.0,-0.46334997,-0.4464573,0.0,-0.5657131,-0.6188275,0.0,-0.5748596,-0.49668977,0.0,-0.60783046,-0.50548387,0.0,-0.6424876,-0.4786217,0.0,-0.6638002,-0.43602484,0.0,-0.6380723,-0.41955796,0.0,-0.7002265,-0.46601516,0.0,-0.7276711,-0.38545695,0.0,-0.7454653,-0.3937783,0.0,-0.7761771,-0.37605315,0.0,-0.75644046,-0.32581416,0.0,-0.7636189,-0.34490052,0.0,-0.7855246,-0.33926877,0.0,-0.77377975,-0.32205757,0.0,-0.78236324,-0.30933398,0.0,-0.78391194,-0.31132713,0.0,-0.7900779,-0.30356145,0.0,-0.79404473,-0.3034827,0.0,-0.8022418,-0.3157477,0.0,-0.8005411,-0.29005617,0.0,-0.80363464,-0.28772923,0.0,-0.7968356,-0.2751662,0.0,-0.800104,-0.2832093,0.0,-0.7978226,-0.27176446,0.0,-0.7936122,-0.2602461,0.0,-0.7885694,-0.25657737,0.0,-0.78847134,-0.2549848,0.0,-0.7855118,-0.25325277,0.0,-0.78773147,-0.25748235,0.0,-0.7735671,-0.24431007,0.0,-0.7631508,-0.24176826,0.0,-0.75380194,-0.23979144,0.0,-0.7412684,-0.23626518,0.0,-0.7343748,-0.23295985,0.0,-0.72503114,-0.23670197,0.0,-0.7193116,-0.23282073,0.0,-0.7112245,-0.23192859,0.0,-0.69980556,-0.2287833,0.0,-0.7010704,-0.22951971,0.0,-0.6889692,-0.21856882,0.0,-0.6814919,-0.22263618,0.0
243,1.4036295,29.977188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024399234,0.07530475,0.0,0.005501507,0.12762325,0.0,0.008882393,0.17396772,0.0,0.012514624,0.210292,0.0,0.016368365,0.23561375,0.0,0.020501748,0.24896418,0.0,0.02134537,0.25015515,0.0,0.022180744,0.2507622,0.0,0.023038896,0.25078192,0.0,0.023922738,0.25022003,0.0,0.024812013,0.2491578,0.0,0.0256617,0.24750149,0.0,0.026548263,0.24517824,0.0,0.027471505,0.2422747,0.0,0.028364224,0.2387752,0.0,0.02923686,0.23461263,0.0,0.030106202,0.22967258,0.0,0.03086375,0.22391038,0.0,0.031119606,0.21677098,0.0,0.029422268,0.20624119,0.0,0.018628806,0.18351452,0.0,-0.040662903,0.100954615,0.0,-0.39999726,-0.35296878,0.0,-0.45108908,-0.26474863,0.0,-0.58516014,-0.4491508,0.0,-0.57692534,-0.3148353,0.0,-0.627395,-0.31722775,0.0,-0.6621793,-0.2808081,0.0,-0.6870859,-0.2330018,0.0,-0.6561818,-0.21718583,0.0,-0.7331733,-0.25451097,0.0,-0.75901544,-0.17273507,0.0,-0.78437006,-0.17225897,0.0,-0.818984,-0.14924318,0.0,-0.7905254,-0.09987993,0.0,-0.80524606,-0.12091314,0.0,-0.82610583,-0.10929118,0.0,-0.81414807,-0.09022068,0.0,-0.82266265,-0.071949,0.0,-0.8255298,-0.070976324,0.0,-0.8299163,-0.062750846,0.0,-0.83296126,-0.06197565,0.0,-0.8410576,-0.062982224,0.0,-0.837508,-0.043173037,0.0,-0.83562666,-0.03957378,0.0,-0.8301615,-0.022106426,0.0,-0.8343291,-0.034360856,0.0,-0.83308196,-0.01949422,0.0,-0.8264381,-0.0048663137,0.0,-0.82398504,-0.004308059,0.0,-0.8183206,0.0069157765,0.0,-0.81548357,0.0023284925,0.0,-0.8139007,0.0016501555,0.0,-0.8016722,0.0113809,0.0,-0.78667647,0.013927539,0.0,-0.7743213,0.021925488,0.0,-0.7637225,0.026439868,0.0,-0.75379574,0.022698298,0.0,-0.75038743,0.022024695,0.0,-0.74040616,0.022967087,0.0,-0.72803235,0.03350665,0.0,-0.72348285,0.034973208,0.0,-0.7125227,0.040122792,0.0,-0.7012511,0.045140512,0.0,-0.699591,0.04634239,0.0
