Node,X,Y,Z,U1 @ 0.0,U2 @ 0.0,U3 @ 0.0,U1 @ 0.1,U2 @ 0.1,U3 @ 0.1,U1 @ 0.15,U2 @ 0.15,U3 @ 0.15,U1 @ 0.2,U2 @ 0.2,U3 @ 0.2,U1 @ 0.25,U2 @ 0.25,U3 @ 0.25,U1 @ 0.3,U2 @ 0.3,U3 @ 0.3,U1 @ 0.35,U2 @ 0.35,U3 @ 0.35,U1 @ 0.4,U2 @ 0.4,U3 @ 0.4,U1 @ 0.41,U2 @ 0.41,U3 @ 0.41,U1 @ 0.42,U2 @ 0.42,U3 @ 0.42,U1 @ 0.43,U2 @ 0.43,U3 @ 0.43,U1 @ 0.44,U2 @ 0.44,U3 @ 0.44,U1 @ 0.45,U2 @ 0.45,U3 @ 0.45,U1 @ 0.46,U2 @ 0.46,U3 @ 0.46,U1 @ 0.47,U2 @ 0.47,U3 @ 0.47,U1 @ 0.48,U2 @ 0.48,U3 @ 0.48,U1 @ 0.49,U2 @ 0.49,U3 @ 0.49,U1 @ 0.5,U2 @ 0.5,U3 @ 0.5,U1 @ 0.51,U2 @ 0.51,U3 @ 0.51,U1 @ 0.52,U2 @ 0.52,U3 @ 0.52,U1 @ 0.53,U2 @ 0.53,U3 @ 0.53,U1 @ 0.54,U2 @ 0.54,U3 @ 0.54,U1 @ 0.55,U2 @ 0.55,U3 @ 0.55,U1 @ 0.56,U2 @ 0.56,U3 @ 0.56,U1 @ 0.57,U2 @ 0.57,U3 @ 0.57,U1 @ 0.58,U2 @ 0.58,U3 @ 0.58,U1 @ 0.59,U2 @ 0.59,U3 @ 0.59,U1 @ 0.6,U2 @ 0.6,U3 @ 0.6,U1 @ 0.61,U2 @ 0.61,U3 @ 0.61,U1 @ 0.62,U2 @ 0.62,U3 @ 0.62,U1 @ 0.63,U2 @ 0.63,U3 @ 0.63,U1 @ 0.64,U2 @ 0.64,U3 @ 0.64,U1 @ 0.65,U2 @ 0.65,U3 @ 0.65,U1 @ 0.66,U2 @ 0.66,U3 @ 0.66,U1 @ 0.67,U2 @ 0.67,U3 @ 0.67,U1 @ 0.68,U2 @ 0.68,U3 @ 0.68,U1 @ 0.69,U2 @ 0.69,U3 @ 0.69,U1 @ 0.7,U2 @ 0.7,U3 @ 0.7,U1 @ 0.71,U2 @ 0.71,U3 @ 0.71,U1 @ 0.72,U2 @ 0.72,U3 @ 0.72,U1 @ 0.73,U2 @ 0.73,U3 @ 0.73,U1 @ 0.74,U2 @ 0.74,U3 @ 0.74,U1 @ 0.75,U2 @ 0.75,U3 @ 0.75,U1 @ 0.76,U2 @ 0.76,U3 @ 0.76,U1 @ 0.77,U2 @ 0.77,U3 @ 0.77,U1 @ 0.78,U2 @ 0.78,U3 @ 0.78,U1 @ 0.79,U2 @ 0.79,U3 @ 0.79,U1 @ 0.8,U2 @ 0.8,U3 @ 0.8,U1 @ 0.81,U2 @ 0.81,U3 @ 0.81,U1 @ 0.82,U2 @ 0.82,U3 @ 0.82,U1 @ 0.83,U2 @ 0.83,U3 @ 0.83,U1 @ 0.84,U2 @ 0.84,U3 @ 0.84,U1 @ 0.85,U2 @ 0.85,U3 @ 0.85,U1 @ 0.86,U2 @ 0.86,U3 @ 0.86,U1 @ 0.87,U2 @ 0.87,U3 @ 0.87,U1 @ 0.88,U2 @ 0.88,U3 @ 0.88,U1 @ 0.89,U2 @ 0.89,U3 @ 0.89,U1 @ 0.9,U2 @ 0.9,U3 @ 0.9,U1 @ 0.91,U2 @ 0.91,U3 @ 0.91,U1 @ 0.92,U2 @ 0.92,U3 @ 0.92,U1 @ 0.93,U2 @ 0.93,U3 @ 0.93,U1 @ 0.94,U2 @ 0.94,U3 @ 0.94,U1 @ 0.95,U2 @ 0.95,U3 @ 0.95,U1 @ 0.96,U2 @ 0.96,U3 @ 0.96,U1 @ 0.97,U2 @ 0.97,U3 @ 0.97,U1 @ 0.98,U2 @ 0.98,U3 @ 0.98,U1 @ 0.99,U2 @ 0.99,U3 @ 0.99
3,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.7201754,0.0,0.0,0.79651165,0.0,0.0,0.851972,0.0,0.0,0.9030576,0.0,0.0,0.9468551,0.0,0.0,0.98201925,0.0,0.0,1.0077026,0.0,0.0,1.0113717,0.0,0.0,1.0140076,0.0,0.0,1.015535,0.0,0.0,1.0155226,0.0,0.0,1.0123179,0.0,0.0,1.0044065,0.0,0.0,0.98748755,0.0,0.0,0.95426536,0.0,0.0,0.8894399,0.0,0.0,0.76458186,0.0,0.0,0.62798893,0.0,0.0,0.42624745,0.0,0.0,0.45434535,0.0,0.0,0.8075317,0.0,0.0,0.8477392,0.0,0.0,0.9126094,0.0,0.0,0.994663,0.0,0.0,1.0647088,0.0,0.0,1.1236129,0.0,0.0,1.1827999,0.0,0.0,1.3007061,0.0,0.0,1.3040445,0.0,0.0,1.3968381,0.0,0.0,1.4362831,0.0,0.0,1.4914911,0.0,0.0,1.5654235,0.0,0.0,1.609892,0.0,0.0,1.655935,0.0,0.0,1.7255205,0.0,0.0,1.7761331,0.0,0.0,1.8340075,0.0,0.0,1.8994019,0.0,0.0,1.9435183,0.0,0.0,2.0074103,0.0,0.0,2.0583973,0.0,0.0,2.1151187,0.0,0.0,2.1721685,0.0,0.0,2.227694,0.0,0.0,2.295286,0.0,0.0,2.3474016,0.0,0.0,2.398458,0.0,0.0,2.455926,0.0,0.0,2.5061085,0.0,0.0,2.5657496,0.0,0.0,2.6123214,0.0,0.0,2.6573465,0.0,0.0,2.7035403,0.0,0.0,2.7324266,0.0,0.0,2.7564235,0.0,0.0,2.752463,0.0,0.0,2.3164947,0.0,0.0,0.7566421,0.0,0.0,0.017747613,0.0,0.0,-0.10196649,0.0,0.0,0.018266534,0.0,0.0,-0.00537857,0.0,0.0,-0.0011387013,0.0,0.0,-0.056617778,0.0,0.0,-0.06237225,0.0
4,36.0,0.0,0.0,0.0,0.0,0.0,0.77329767,0.0,0.0,0.91505927,0.0,0.0,1.0948237,0.0,0.0,1.2777508,0.0,0.0,1.4711424,0.0,0.0,1.6764165,0.0,0.0,1.8928502,0.0,0.0,1.9369235,0.0,0.0,1.9810666,0.0,0.0,2.024751,0.0,0.0,2.0674348,0.0,0.0,2.108362,0.0,0.0,2.1463275,0.0,0.0,2.179104,0.0,0.0,2.2032955,0.0,0.0,2.2126434,0.0,0.0,2.1974146,0.0,0.0,2.232118,0.0,0.0,2.2385046,0.0,0.0,2.2219706,0.0,0.0,2.228227,0.0,0.0,2.2885563,0.0,0.0,2.311383,0.0,0.0,2.272115,0.0,0.0,2.5162199,0.0,0.0,2.6342506,0.0,0.0,2.758935,0.0,0.0,2.8689234,0.0,0.0,2.973192,0.0,0.0,3.063392,0.0,0.0,3.163604,0.0,0.0,3.2393532,0.0,0.0,3.3350139,0.0,0.0,3.4181466,0.0,0.0,3.498922,0.0,0.0,3.5879107,0.0,0.0,3.67087,0.0,0.0,3.7511692,0.0,0.0,3.8350668,0.0,0.0,3.9157472,0.0,0.0,3.9999177,0.0,0.0,4.07666,0.0,0.0,4.1600485,0.0,0.0,4.239128,0.0,0.0,4.3170943,0.0,0.0,4.4000416,0.0,0.0,4.4789104,0.0,0.0,4.555941,0.0,0.0,4.6369247,0.0,0.0,4.713102,0.0,0.0,4.792332,0.0,0.0,4.8710504,0.0,0.0,4.9479804,0.0,0.0,5.0207844,0.0,0.0,5.0955667,0.0,0.0,5.173217,0.0,0.0,5.246967,0.0,0.0,5.322185,0.0,0.0,5.3892007,0.0,0.0,5.450387,0.0,0.0,5.514357,0.0,0.0,5.5890064,0.0,0.0,5.653734,0.0,0.0,5.7153444,0.0,0.0,5.785096,0.0,0.0,5.842415,0.0,0.0
6,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.7201842,0.0,0.0,0.79648817,0.0,0.0,0.85194314,0.0,0.0,0.9030436,0.0,0.0,0.9468424,0.0,0.0,0.98200476,0.0,0.0,1.0076851,0.0,0.0,1.0113477,0.0,0.0,1.0139905,0.0,0.0,1.0155199,0.0,0.0,1.0155016,0.0,0.0,1.0122954,0.0,0.0,1.0043939,0.0,0.0,0.9874607,0.0,0.0,0.9542576,0.0,0.0,0.8894139,0.0,0.0,0.76459193,0.0,0.0,0.62811184,0.0,0.0,0.42648202,0.0,0.0,0.4546912,0.0,0.0,0.8070743,0.0,0.0,0.84871924,0.0,0.0,0.91293967,0.0,0.0,0.9948042,0.0,0.0,1.0648301,0.0,0.0,1.1236414,0.0,0.0,1.181536,0.0,0.0,1.2997866,0.0,0.0,1.3028474,0.0,0.0,1.394986,0.0,0.0,1.4357842,0.0,0.0,1.4906287,0.0,0.0,1.5654163,0.0,0.0,1.610711,0.0,0.0,1.6565166,0.0,0.0,1.7268023,0.0,0.0,1.7773169,0.0,0.0,1.8354456,0.0,0.0,1.9017788,0.0,0.0,1.9452697,0.0,0.0,2.0111578,0.0,0.0,2.0627656,0.0,0.0,2.1201274,0.0,0.0,2.1760063,0.0,0.0,2.230155,0.0,0.0,2.300716,0.0,0.0,2.3511527,0.0,0.0,2.4013574,0.0,0.0,2.459432,0.0,0.0,2.5085523,0.0,0.0,2.5656853,0.0,0.0,2.6161358,0.0,0.0,2.6728745,0.0,0.0,2.7238858,0.0,0.0,2.7640717,0.0,0.0,2.8116167,0.0,0.0,2.8653345,0.0,0.0,2.9409301,0.0,0.0,2.653449,0.0,0.0,1.9238232,0.0,0.0,1.977048,0.0,0.0,1.8729978,0.0,0.0,1.936427,0.0,0.0,1.9390473,0.0,0.0,1.9101553,0.0,0.0,1.9318005,0.0
7,36.0,0.0,1.0,0.0,0.0,0.0,0.7732935,0.0,0.0,0.91505736,0.0,0.0,1.0947843,0.0,0.0,1.2777236,0.0,0.0,1.4711195,0.0,0.0,1.6763945,0.0,0.0,1.8928252,0.0,0.0,1.9369013,0.0,0.0,1.9810342,0.0,0.0,2.0247145,0.0,0.0,2.0674038,0.0,0.0,2.1083312,0.0,0.0,2.1463025,0.0,0.0,2.1790829,0.0,0.0,2.2032635,0.0,0.0,2.2126186,0.0,0.0,2.1974018,0.0,0.0,2.2321079,0.0,0.0,2.2385361,0.0,0.0,2.2217972,0.0,0.0,2.2281404,0.0,0.0,2.2883508,0.0,0.0,2.3113077,0.0,0.0,2.2722113,0.0,0.0,2.516157,0.0,0.0,2.634222,0.0,0.0,2.758874,0.0,0.0,2.8690956,0.0,0.0,2.9735131,0.0,0.0,3.0631874,0.0,0.0,3.1634872,0.0,0.0,3.2390466,0.0,0.0,3.3350055,0.0,0.0,3.4178083,0.0,0.0,3.4990115,0.0,0.0,3.587677,0.0,0.0,3.670699,0.0,0.0,3.7508109,0.0,0.0,3.8349886,0.0,0.0,3.9153187,0.0,0.0,3.9993255,0.0,0.0,4.0765405,0.0,0.0,4.1595855,0.0,0.0,4.2387037,0.0,0.0,4.316869,0.0,0.0,4.4000964,0.0,0.0,4.4781504,0.0,0.0,4.5559373,0.0,0.0,4.636938,0.0,0.0,4.713059,0.0,0.0,4.791526,0.0,0.0,4.8706384,0.0,0.0,4.946244,0.0,0.0,5.023339,0.0,0.0,5.096004,0.0,0.0,5.1756997,0.0,0.0,5.249379,0.0,0.0,5.322908,0.0,0.0,5.3898,0.0,0.0,5.451897,0.0,0.0,5.518395,0.0,0.0,5.591867,0.0,0.0,5.650011,0.0,0.0,5.715964,0.0,0.0,5.7831335,0.0,0.0,5.844126,0.0,0.0
238,0.23397835,29.999367,0.0,0.0,0.0,0.0,0.0067206984,0.72015905,0.0,0.0071958634,0.7964214,0.0,0.007945422,0.8518837,0.0,0.0085563725,0.90299135,0.0,0.009066797,0.9467941,0.0,0.009654922,0.98196965,0.0,0.010033571,1.0077147,0.0,0.010025102,1.0114124,0.0,0.00997386,1.0140814,0.0,0.009852512,1.0156718,0.0,0.00957836,1.0157237,0.0,0.009117486,1.0126266,0.0,0.008265859,1.0048946,0.0,0.006782318,0.9882353,0.0,0.004176434,0.9554844,0.0,-0.00044446051,0.8914613,0.0,-0.008518246,0.76804185,0.0,-0.020669699,0.6342551,0.0,-0.034415632,0.43725175,0.0,-0.018425839,0.4660119,0.0,-0.005378723,0.8144077,0.0,-0.0052225236,0.8567074,0.0,-0.0039213407,0.9214013,0.0,-0.003959451,1.003214,0.0,-0.0054885345,1.0732211,0.0,-0.0049091456,1.1341213,0.0,-0.004274483,1.1935208,0.0,-0.003058451,1.3107251,0.0,-0.0048254486,1.315219,0.0,-0.0017575074,1.4070307,0.0,-0.0015029863,1.4477084,0.0,-0.004023291,1.5042776,0.0,0.00030823943,1.5774015,0.0,-0.0023352846,1.623344,0.0,-0.0020268543,1.6703404,0.0,-0.0011314191,1.7412094,0.0,0.000112152506,1.7922175,0.0,0.00038679285,1.8514303,0.0,0.0014104279,1.9174094,0.0,0.0017089406,1.9626069,0.0,0.0022193308,2.029815,0.0,0.0015081655,2.0817256,0.0,0.001676946,2.1404774,0.0,0.00061778136,2.1960797,0.0,0.00037907172,2.25142,0.0,0.0044704373,2.3217955,0.0,0.0045833895,2.37366,0.0,0.0060106586,2.424621,0.0,0.005049766,2.4832284,0.0,0.007167315,2.5311363,0.0,0.0046683312,2.5862422,0.0,0.006110574,2.6372302,0.0,0.0053003207,2.6862767,0.0,0.0053342716,2.7306974,0.0,0.0044196434,2.7650218,0.0,0.0014523009,2.794777,0.0,0.0005098637,2.8002832,0.0,0.028348751,2.5874178,0.0,0.53887475,1.082193,0.0,0.5958381,0.63945526,0.0,0.5687869,0.43578586,0.0,0.6323678,0.39899293,0.0,0.64224666,0.3396157,0.0,0.64520955,0.3737291,0.0,0.6552813,0.36942643,0.0,0.64492816,0.34692344,0.0
239,0.4679496,29.997465,0.0,0.0,0.0,0.0,0.013461236,0.7200755,0.0,0.014396051,0.7963464,0.0,0.015898453,0.8518153,0.0,0.017122105,0.90295786,0.0,0.018139334,0.94680035,0.0,0.019342586,0.98204416,0.0,0.020103402,1.0079854,0.0,0.02009293,1.0117544,0.0,0.019997332,1.0145403,0.0,0.019765504,1.0162661,0.0,0.0192344,1.0165328,0.0,0.018312404,1.0137619,0.0,0.016633479,1.0065274,0.0,0.013719213,0.99068177,0.0,0.008596767,0.9592978,0.0,-0.0005500065,0.89769423,0.0,-0.01648673,0.7787064,0.0,-0.040509976,0.6530686,0.0,-0.06774778,0.46931043,0.0,-0.036347147,0.5012865,0.0,-0.00789193,0.83653796,0.0,-0.008082788,0.8771874,0.0,-0.0046657375,0.9424776,0.0,-0.005079697,1.025927,0.0,-0.007621929,1.0974647,0.0,-0.007460379,1.1603011,0.0,-0.005276149,1.2214305,0.0,-0.0022780376,1.3378605,0.0,-0.0048971223,1.3463128,0.0,0.00021364234,1.4375972,0.0,0.00082722073,1.4795442,0.0,-0.0026418453,1.5377843,0.0,0.005757756,1.611805,0.0,0.00025795834,1.6589485,0.0,0.0027667368,1.7082812,0.0,0.0033775913,1.7789721,0.0,0.0041188896,1.8316655,0.0,0.006765662,1.8910528,0.0,0.006003533,1.9580666,0.0,0.006969056,2.0050478,0.0,0.008349036,2.0729008,0.0,0.008269609,2.1252036,0.0,0.009942849,2.184309,0.0,0.010791543,2.2429812,0.0,0.012627197,2.3000953,0.0,0.017495025,2.3704205,0.0,0.016753655,2.4243965,0.0,0.017822348,2.4762504,0.0,0.019415103,2.5354378,0.0,0.017759483,2.5867183,0.0,0.019664908,2.6445694,0.0,0.018940102,2.6964362,0.0,0.020157987,2.7500927,0.0,0.018444646,2.8027716,0.0,0.015562438,2.8388598,0.0,0.010750269,2.8757942,0.0,0.0016268992,2.8967273,0.0,-0.057552524,2.859717,0.0,0.68609387,1.5358144,0.0,0.8090115,0.97227144,0.0,0.7999326,0.7397766,0.0,0.788269,0.7764058,0.0,0.82186466,0.7629254,0.0,0.8190366,0.7354632,0.0,0.85573196,0.7479468,0.0,0.8808506,0.7277281,0.0
240,0.7019075,29.994297,0.0,0.0,0.0,0.0,0.020225948,0.7199223,0.0,0.02161266,0.79610807,0.0,0.02385,0.8516436,0.0,0.025689645,0.9028385,0.0,0.02724355,0.9467271,0.0,0.029056441,0.9820727,0.0,0.030240882,1.008308,0.0,0.03023803,1.0122015,0.0,0.030111646,1.0151601,0.0,0.02978943,1.017132,0.0,0.02901451,1.0177553,0.0,0.027691865,1.0155083,0.0,0.025248496,1.0090976,0.0,0.02098618,0.9945793,0.0,0.013466738,0.9654234,0.0,3.1396587e-05,0.90776014,0.0,-0.02346858,0.7958774,0.0,-0.058918077,0.68311036,0.0,-0.09901768,0.51896614,0.0,-0.05308152,0.5563249,0.0,-0.010234519,0.86898535,0.0,-0.008148698,0.91011506,0.0,-0.0040442646,0.97636384,0.0,-0.0041294456,1.0607127,0.0,-0.0077552344,1.134091,0.0,-0.0067214044,1.2010559,0.0,-0.004038263,1.263015,0.0,0.00096033775,1.377952,0.0,-0.0032340856,1.390266,0.0,0.003887066,1.4801865,0.0,0.0054374873,1.5257558,0.0,0.0014839236,1.586797,0.0,0.015061972,1.6613703,0.0,0.0083488,1.7108115,0.0,0.013414025,1.7621193,0.0,0.016330283,1.834564,0.0,0.018431421,1.8887084,0.0,0.020572253,1.9508225,0.0,0.023021674,2.018288,0.0,0.023001885,2.0677404,0.0,0.026404751,2.1358628,0.0,0.025823176,2.1914933,0.0,0.030696413,2.253462,0.0,0.031182634,2.3122573,0.0,0.034502804,2.370103,0.0,0.04261193,2.441849,0.0,0.039498094,2.4947417,0.0,0.036805,2.5495276,0.0,0.04330047,2.6105382,0.0,0.042681728,2.6620133,0.0,0.046585914,2.7228935,0.0,0.04579858,2.7780123,0.0,0.044955827,2.8338768,0.0,0.042818308,2.8860035,0.0,0.037548825,2.927258,0.0,0.03573301,2.9740582,0.0,0.026971301,3.0050788,0.0,-0.003960591,3.026099,0.0,0.7866502,2.122564,0.0,0.79075074,1.9207599,0.0,0.9311038,1.8142213,0.0,0.9580351,1.7104725,0.0,0.95004296,1.6932274,0.0,0.9821542,1.665658,0.0,0.9646157,1.6586636,0.0,0.9984823,1.7045362,0.0
241,0.9358445,29.989862,0.0,0.0,0.0,0.0,0.027024625,0.71967614,0.0,0.0288774,0.79586285,0.0,0.031873994,0.8514285,0.0,0.034340862,0.9026812,0.0,0.03640827,0.9466395,0.0,0.038850762,0.9821246,0.0,0.0404974,1.00877,0.0,0.040520377,1.0128291,0.0,0.040378273,1.0160193,0.0,0.039980393,1.0183146,0.0,0.039032422,1.0194154,0.0,0.037353955,1.0178894,0.0,0.034221385,1.0125844,0.0,0.02873347,0.999872,0.0,0.01901825,0.973766,0.0,0.0016142366,0.9214386,0.0,-0.02895765,0.81921816,0.0,-0.075066745,0.7234753,0.0,-0.12713969,0.58349645,0.0,-0.065984234,0.62687874,0.0,-0.011540278,0.91399264,0.0,-0.009159695,0.9535182,0.0,-0.0034695596,1.0216085,0.0,-0.0026849199,1.1080955,0.0,-0.007911354,1.1841571,0.0,-0.005098871,1.2553868,0.0,-0.0015220268,1.3198395,0.0,0.0045933984,1.4326444,0.0,0.000683735,1.4510001,0.0,0.010192374,1.5402747,0.0,0.012701576,1.5887864,0.0,0.006033304,1.6517571,0.0,0.02267848,1.7270031,0.0,0.012935172,1.7784433,0.0,0.019684073,1.8335623,0.0,0.022316787,1.9068038,0.0,0.02534603,1.963238,0.0,0.029325638,2.0269992,0.0,0.03065819,2.0955174,0.0,0.03371916,2.1477866,0.0,0.03676694,2.2164752,0.0,0.03691757,2.273799,0.0,0.041771628,2.3361914,0.0,0.041879397,2.3974488,0.0,0.04691346,2.4588819,0.0,0.056071784,2.5289993,0.0,0.052348245,2.5861568,0.0,0.05529458,2.6430917,0.0,0.06147542,2.706069,0.0,0.059655454,2.760976,0.0,0.06331516,2.8230302,0.0,0.06312495,2.8805957,0.0,0.06562233,2.9376888,0.0,0.06301552,2.9940238,0.0,0.059677586,3.0411336,0.0,0.055838704,3.088231,0.0,0.047110733,3.1324189,0.0,0.032113146,3.1662333,0.0,0.4869553,2.4034545,0.0,0.48413846,2.0540326,0.0,0.51912254,1.8970762,0.0,0.60325706,1.9035664,0.0,0.6122987,1.8552264,0.0,0.5989906,1.8729506,0.0,0.6315463,1.8610057,0.0,0.6452355,1.8758826,0.0
242,1.169754,29.98416,0.0,0.0,0.0,0.0,0.033855677,0.71934617,0.0,0.03615783,0.795447,0.0,0.039923724,0.85109454,0.0,0.043005176,0.9024239,0.0,0.045614824,0.94646794,0.0,0.048711207,0.98211104,0.0,0.050866906,1.0092483,0.0,0.050921258,1.0135068,0.0,0.05080904,1.016995,0.0,0.050387308,1.0196866,0.0,0.04927677,1.0213774,0.0,0.047327112,1.020737,0.0,0.043608263,1.0168165,0.0,0.03706425,1.0063515,0.0,0.025422025,0.98402804,0.0,0.0044241846,0.93833643,0.0,-0.0325475,0.84801006,0.0,-0.08841383,0.772611,0.0,-0.15118055,0.65967804,0.0,-0.07627038,0.71050054,0.0,-0.006150002,0.9649564,0.0,-0.00622206,1.0062915,0.0,0.0026312824,1.0764415,0.0,0.0023730134,1.1643431,0.0,-0.003203856,1.2431947,0.0,-0.00041359273,1.3198189,0.0,0.004859724,1.3859862,0.0,0.013107268,1.4964931,0.0,0.0077965083,1.5200727,0.0,0.019870035,1.607538,0.0,0.023123963,1.6604563,0.0,0.015609542,1.7278297,0.0,0.036512163,1.8031368,0.0,0.02544637,1.85764,0.0,0.0329011,1.916468,0.0,0.036638547,1.9906845,0.0,0.03995304,2.0495741,0.0,0.045263983,2.116109,0.0,0.049565066,2.1854048,0.0,0.05309066,2.2414327,0.0,0.05702076,2.3109145,0.0,0.05730076,2.3716037,0.0,0.06612884,2.437961,0.0,0.06936325,2.5004284,0.0,0.072495714,2.562489,0.0,0.08220536,2.6355364,0.0,0.080435276,2.695057,0.0,0.084125966,2.7555137,0.0,0.08588436,2.8190193,0.0,0.08706285,2.8773973,0.0,0.09137816,2.9416938,0.0,0.089669436,3.0001366,0.0,0.09435099,3.0610201,0.0,0.09355874,3.1201694,0.0,0.08961978,3.1723418,0.0,0.089047976,3.2252111,0.0,0.080643326,3.2722542,0.0,0.07055771,3.3194404,0.0,0.26736066,2.8064334,0.0,0.25448623,2.4668097,0.0,0.31700042,2.3884284,0.0,0.37069196,2.3087063,0.0,0.35601294,2.2959583,0.0,0.34783155,2.3343625,0.0,0.337866,2.354125,0.0,0.33760434,2.4023063,0.0
243,1.4036295,29.977188,0.0,0.0,0.0,0.0,0.04073173,0.7189262,0.0,0.04349841,0.7949514,0.0,0.04802232,0.85067046,0.0,0.051751498,0.90207225,0.0,0.05491768,0.946207,0.0,0.058691755,0.9820414,0.0,0.061420098,1.0097373,0.0,0.06154047,1.0142341,0.0,0.06147145,1.0180447,0.0,0.061061904,1.0212053,0.0,0.059881877,1.023574,0.0,0.057732113,1.0239768,0.0,0.053549945,1.0216657,0.0,0.046144158,1.0138115,0.0,0.03289444,0.99591094,0.0,0.008813136,0.95796025,0.0,-0.033783104,0.88135654,0.0,-0.09818308,0.82895947,0.0,-0.17035574,0.7453346,0.0,-0.08209103,0.803071,0.0,-0.0025401765,1.0277,0.0,-0.0015323252,1.0668367,0.0,0.008579671,1.1387682,0.0,0.011614439,1.2288791,0.0,0.0034926184,1.3108244,0.0,0.0073794904,1.3934844,0.0,0.013148819,1.4613526,0.0,0.023259463,1.5700097,0.0,0.019164568,1.6012846,0.0,0.03370595,1.6876342,0.0,0.038185447,1.744423,0.0,0.030404044,1.8147994,0.0,0.05584411,1.8911033,0.0,0.043920733,1.9487549,0.0,0.054250307,2.01195,0.0,0.05925245,2.086328,0.0,0.064043544,2.1482325,0.0,0.07170018,2.2171142,0.0,0.075746626,2.2869253,0.0,0.08063104,2.3460476,0.0,0.08541027,2.4182515,0.0,0.08581859,2.4795222,0.0,0.09765379,2.547185,0.0,0.10083566,2.6117222,0.0,0.106240906,2.677291,0.0,0.115641005,2.7491314,0.0,0.117038235,2.811761,0.0,0.12079224,2.874481,0.0,0.12546808,2.9394505,0.0,0.13149506,3.002662,0.0,0.13465512,3.0666704,0.0,0.13668287,3.1287673,0.0,0.14221653,3.1913674,0.0,0.14105217,3.2521574,0.0,0.14064474,3.3106039,0.0,0.13320798,3.3662636,0.0,0.13177834,3.422611,0.0,0.12369481,3.473494,0.0,-0.012596393,3.226432,0.0,-0.054769363,2.9066255,0.0,-0.0039820364,2.7601793,0.0,-0.008553923,2.8218436,0.0,-0.031885557,2.8039026,0.0,-0.00062373944,2.8550699,0.0,-0.011175412,2.8527935,0.0,-0.038614254,2.8559175,0.0
