Node,X,Y,Z,U1 @ 0.0,U2 @ 0.0,U3 @ 0.0,U1 @ 0.1,U2 @ 0.1,U3 @ 0.1,U1 @ 0.15,U2 @ 0.15,U3 @ 0.15,U1 @ 0.2,U2 @ 0.2,U3 @ 0.2,U1 @ 0.25,U2 @ 0.25,U3 @ 0.25,U1 @ 0.3,U2 @ 0.3,U3 @ 0.3,U1 @ 0.35,U2 @ 0.35,U3 @ 0.35,U1 @ 0.4,U2 @ 0.4,U3 @ 0.4,U1 @ 0.41,U2 @ 0.41,U3 @ 0.41,U1 @ 0.42,U2 @ 0.42,U3 @ 0.42,U1 @ 0.43,U2 @ 0.43,U3 @ 0.43,U1 @ 0.44,U2 @ 0.44,U3 @ 0.44,U1 @ 0.45,U2 @ 0.45,U3 @ 0.45,U1 @ 0.46,U2 @ 0.46,U3 @ 0.46,U1 @ 0.47,U2 @ 0.47,U3 @ 0.47,U1 @ 0.48,U2 @ 0.48,U3 @ 0.48,U1 @ 0.49,U2 @ 0.49,U3 @ 0.49,U1 @ 0.5,U2 @ 0.5,U3 @ 0.5,U1 @ 0.51,U2 @ 0.51,U3 @ 0.51,U1 @ 0.52,U2 @ 0.52,U3 @ 0.52,U1 @ 0.53,U2 @ 0.53,U3 @ 0.53,U1 @ 0.54,U2 @ 0.54,U3 @ 0.54,U1 @ 0.55,U2 @ 0.55,U3 @ 0.55,U1 @ 0.56,U2 @ 0.56,U3 @ 0.56,U1 @ 0.57,U2 @ 0.57,U3 @ 0.57,U1 @ 0.58,U2 @ 0.58,U3 @ 0.58,U1 @ 0.59,U2 @ 0.59,U3 @ 0.59,U1 @ 0.6,U2 @ 0.6,U3 @ 0.6,U1 @ 0.61,U2 @ 0.61,U3 @ 0.61,U1 @ 0.62,U2 @ 0.62,U3 @ 0.62,U1 @ 0.63,U2 @ 0.63,U3 @ 0.63,U1 @ 0.64,U2 @ 0.64,U3 @ 0.64,U1 @ 0.65,U2 @ 0.65,U3 @ 0.65,U1 @ 0.66,U2 @ 0.66,U3 @ 0.66,U1 @ 0.67,U2 @ 0.67,U3 @ 0.67,U1 @ 0.68,U2 @ 0.68,U3 @ 0.68,U1 @ 0.69,U2 @ 0.69,U3 @ 0.69,U1 @ 0.7,U2 @ 0.7,U3 @ 0.7,U1 @ 0.71,U2 @ 0.71,U3 @ 0.71,U1 @ 0.72,U2 @ 0.72,U3 @ 0.72,U1 @ 0.73,U2 @ 0.73,U3 @ 0.73,U1 @ 0.74,U2 @ 0.74,U3 @ 0.74,U1 @ 0.75,U2 @ 0.75,U3 @ 0.75,U1 @ 0.76,U2 @ 0.76,U3 @ 0.76,U1 @ 0.77,U2 @ 0.77,U3 @ 0.77,U1 @ 0.78,U2 @ 0.78,U3 @ 0.78,U1 @ 0.79,U2 @ 0.79,U3 @ 0.79,U1 @ 0.8,U2 @ 0.8,U3 @ 0.8,U1 @ 0.81,U2 @ 0.81,U3 @ 0.81,U1 @ 0.82,U2 @ 0.82,U3 @ 0.82,U1 @ 0.83,U2 @ 0.83,U3 @ 0.83,U1 @ 0.84,U2 @ 0.84,U3 @ 0.84,U1 @ 0.85,U2 @ 0.85,U3 @ 0.85,U1 @ 0.86,U2 @ 0.86,U3 @ 0.86,U1 @ 0.87,U2 @ 0.87,U3 @ 0.87,U1 @ 0.88,U2 @ 0.88,U3 @ 0.88,U1 @ 0.89,U2 @ 0.89,U3 @ 0.89,U1 @ 0.9,U2 @ 0.9,U3 @ 0.9,U1 @ 0.91,U2 @ 0.91,U3 @ 0.91,U1 @ 0.92,U2 @ 0.92,U3 @ 0.92,U1 @ 0.93,U2 @ 0.93,U3 @ 0.93,U1 @ 0.94,U2 @ 0.94,U3 @ 0.94,U1 @ 0.95,U2 @ 0.95,U3 @ 0.95,U1 @ 0.96,U2 @ 0.96,U3 @ 0.96,U1 @ 0.97,U2 @ 0.97,U3 @ 0.97,U1 @ 0.98,U2 @ 0.98,U3 @ 0.98,U1 @ 0.99,U2 @ 0.99,U3 @ 0.99
3,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.7165177,0.0,0.0,0.7971693,0.0,0.0,0.85134125,0.0,0.0,0.9029034,0.0,0.0,0.94713515,0.0,0.0,0.98221445,0.0,0.0,1.0080044,0.0,0.0,1.0113219,0.0,0.0,1.0137355,0.0,0.0,1.0159806,0.0,0.0,1.0160704,0.0,0.0,1.0128276,0.0,0.0,1.0044503,0.0,0.0,0.9879429,0.0,0.0,0.9556604,0.0,0.0,0.8923617,0.0,0.0,0.77002585,0.0,0.0,0.5567852,0.0,0.0,0.25605458,0.0,0.0,0.16013323,0.0,0.0,0.50454986,0.0,0.0,0.49890685,0.0,0.0,0.46263856,0.0,0.0,0.4729543,0.0,0.0,0.46729597,0.0,0.0,0.5255994,0.0,0.0,0.598053,0.0,0.0,0.5754874,0.0,0.0,0.5804666,0.0,0.0,0.48195827,0.0,0.0,0.50519526,0.0,0.0,0.44884628,0.0,0.0,0.44908455,0.0,0.0,0.42000186,0.0,0.0,0.4375279,0.0,0.0,0.43210852,0.0,0.0,0.41541275,0.0,0.0,0.4041903,0.0,0.0,0.39860633,0.0,0.0,0.39328307,0.0,0.0,0.39934132,0.0,0.0,0.3785159,0.0,0.0,0.3775936,0.0,0.0,0.38274804,0.0,0.0,0.36180946,0.0,0.0,0.3606796,0.0,0.0,0.35367614,0.0,0.0,0.34033164,0.0,0.0,0.33264092,0.0,0.0,0.324264,0.0,0.0,0.31269383,0.0,0.0,0.30884385,0.0,0.0,0.29811627,0.0,0.0,0.2918955,0.0,0.0,0.29338065,0.0,0.0,0.29005146,0.0,0.0,0.2820853,0.0,0.0,0.2847812,0.0,0.0,0.2803255,0.0,0.0,0.27537614,0.0,0.0,0.27343267,0.0,0.0,0.2466441,0.0,0.0,0.24975346,0.0,0.0,0.22848894,0.0,0.0,0.23495759,0.0,0.0,0.24552412,0.0
4,36.0,0.0,0.0,0.0,0.0,0.0,0.7806199,0.0,0.0,0.91944736,0.0,0.0,1.0935917,0.0,0.0,1.2780176,0.0,0.0,1.4702361,0.0,0.0,1.6759742,0.0,0.0,1.892257,0.0,0.0,1.9368428,0.0,0.0,1.9809262,0.0,0.0,2.0243971,0.0,0.0,2.0669067,0.0,0.0,2.1080196,0.0,0.0,2.1464045,0.0,0.0,2.179446,0.0,0.0,2.2035177,0.0,0.0,2.2132285,0.0,0.0,2.199428,0.0,0.0,2.1533303,0.0,0.0,2.054706,0.0,0.0,1.9145272,0.0,0.0,1.8012025,0.0,0.0,1.7700647,0.0,0.0,1.7372952,0.0,0.0,1.9363883,0.0,0.0,1.9685442,0.0,0.0,1.9967155,0.0,0.0,2.0015364,0.0,0.0,2.0472388,0.0,0.0,2.0792255,0.0,0.0,2.1248658,0.0,0.0,2.1442645,0.0,0.0,2.1450858,0.0,0.0,2.1716833,0.0,0.0,2.19524,0.0,0.0,2.2445426,0.0,0.0,2.2503014,0.0,0.0,2.2588096,0.0,0.0,2.2772686,0.0,0.0,2.296054,0.0,0.0,2.3194544,0.0,0.0,2.3413925,0.0,0.0,2.3619387,0.0,0.0,2.3836641,0.0,0.0,2.409482,0.0,0.0,2.4350605,0.0,0.0,2.4618115,0.0,0.0,2.4906912,0.0,0.0,2.5206673,0.0,0.0,2.5517437,0.0,0.0,2.5839028,0.0,0.0,2.6176355,0.0,0.0,2.6560354,0.0,0.0,2.6968749,0.0,0.0,2.7418017,0.0,0.0,2.7912514,0.0,0.0,2.8513482,0.0,0.0,2.9190674,0.0,0.0,3.002372,0.0,0.0,3.1024766,0.0,0.0,3.2308795,0.0,0.0,3.4066317,0.0,0.0,3.6531794,0.0,0.0,4.013313,0.0,0.0,4.1816096,0.0,0.0,4.295249,0.0,0.0,4.4106836,0.0,0.0
6,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.71650857,0.0,0.0,0.79717463,0.0,0.0,0.8513485,0.0,0.0,0.902899,0.0,0.0,0.94714063,0.0,0.0,0.9821945,0.0,0.0,1.0079811,0.0,0.0,1.0112947,0.0,0.0,1.0137242,0.0,0.0,1.015961,0.0,0.0,1.0160522,0.0,0.0,1.0128084,0.0,0.0,1.0044403,0.0,0.0,0.9879422,0.0,0.0,0.95566267,0.0,0.0,0.89237,0.0,0.0,0.7701166,0.0,0.0,0.55690104,0.0,0.0,0.2563389,0.0,0.0,0.15993032,0.0,0.0,0.5025015,0.0,0.0,0.4971188,0.0,0.0,0.46061698,0.0,0.0,0.47138903,0.0,0.0,0.4656645,0.0,0.0,0.5238994,0.0,0.0,0.5970499,0.0,0.0,0.57315755,0.0,0.0,0.57830435,0.0,0.0,0.48008016,0.0,0.0,0.5030265,0.0,0.0,0.44626844,0.0,0.0,0.44660312,0.0,0.0,0.41780975,0.0,0.0,0.43621126,0.0,0.0,0.42989925,0.0,0.0,0.41264316,0.0,0.0,0.4016074,0.0,0.0,0.39567563,0.0,0.0,0.39039764,0.0,0.0,0.39476416,0.0,0.0,0.37666026,0.0,0.0,0.37506017,0.0,0.0,0.37892413,0.0,0.0,0.3576104,0.0,0.0,0.3585747,0.0,0.0,0.35171622,0.0,0.0,0.3363681,0.0,0.0,0.33046198,0.0,0.0,0.322167,0.0,0.0,0.31236628,0.0,0.0,0.30878273,0.0,0.0,0.29373613,0.0,0.0,0.28965926,0.0,0.0,0.29131332,0.0,0.0,0.2850811,0.0,0.0,0.27235526,0.0,0.0,0.27083677,0.0,0.0,0.26275194,0.0,0.0,0.25946093,0.0,0.0,0.25941613,0.0,0.0,0.2253151,0.0,0.0,0.23170398,0.0,0.0,0.20455334,0.0,0.0,0.19429378,0.0,0.0,0.17420442,0.0
7,36.0,0.0,1.0,0.0,0.0,0.0,0.78062284,0.0,0.0,0.91946447,0.0,0.0,1.0936095,0.0,0.0,1.278009,0.0,0.0,1.470214,0.0,0.0,1.6759459,0.0,0.0,1.8922191,0.0,0.0,1.9368101,0.0,0.0,1.9808943,0.0,0.0,2.0243714,0.0,0.0,2.0668862,0.0,0.0,2.1079996,0.0,0.0,2.1463854,0.0,0.0,2.1794236,0.0,0.0,2.2035072,0.0,0.0,2.2132256,0.0,0.0,2.1994214,0.0,0.0,2.153364,0.0,0.0,2.0547283,0.0,0.0,1.9146976,0.0,0.0,1.8012683,0.0,0.0,1.7703038,0.0,0.0,1.7373618,0.0,0.0,1.9362371,0.0,0.0,1.9683905,0.0,0.0,1.9954208,0.0,0.0,2.0005946,0.0,0.0,2.0465152,0.0,0.0,2.078422,0.0,0.0,2.1244779,0.0,0.0,2.1430352,0.0,0.0,2.1442983,0.0,0.0,2.1710517,0.0,0.0,2.1942775,0.0,0.0,2.2434864,0.0,0.0,2.2491763,0.0,0.0,2.2579684,0.0,0.0,2.2765539,0.0,0.0,2.2963269,0.0,0.0,2.3191383,0.0,0.0,2.3404608,0.0,0.0,2.3606296,0.0,0.0,2.3831809,0.0,0.0,2.409108,0.0,0.0,2.434593,0.0,0.0,2.4614027,0.0,0.0,2.4899437,0.0,0.0,2.5189905,0.0,0.0,2.550584,0.0,0.0,2.5836923,0.0,0.0,2.6175537,0.0,0.0,2.6548996,0.0,0.0,2.6953444,0.0,0.0,2.7404857,0.0,0.0,2.7919536,0.0,0.0,2.8516538,0.0,0.0,2.9189491,0.0,0.0,3.0041337,0.0,0.0,3.101691,0.0,0.0,3.230943,0.0,0.0,3.4092863,0.0,0.0,3.6508408,0.0,0.0,4.016166,0.0,0.0,4.1848855,0.0,0.0,4.290852,0.0,0.0,4.4117904,0.0,0.0
238,0.23397835,29.999367,0.0,0.0,0.0,0.0,0.006846933,0.71649736,0.0,0.007401998,0.7971689,0.0,0.007858157,0.85130626,0.0,0.008465374,0.9028934,0.0,0.009016762,0.9471365,0.0,0.009579496,0.9822355,0.0,0.009963687,1.0080788,0.0,0.009993066,1.0114254,0.0,0.010015662,1.0138876,0.0,0.009869094,1.0161754,0.0,0.00955709,1.0163332,0.0,0.009054498,1.0131885,0.0,0.008228047,1.004987,0.0,0.0068256645,0.9887329,0.0,0.004258223,0.95691186,0.0,-0.00029969594,0.89438957,0.0,-0.008230078,0.77360004,0.0,-0.020537602,0.56291926,0.0,-0.03509818,0.26704675,0.0,-0.02178103,0.17355719,0.0,-0.0020272206,0.51087844,0.0,-0.0018923044,0.503567,0.0,-0.00029365765,0.46758795,0.0,-0.00031060955,0.47857812,0.0,-0.0006899649,0.47244534,0.0,0.0028123157,0.531337,0.0,0.0060930313,0.60358876,0.0,0.008760268,0.5804812,0.0,0.008944015,0.584853,0.0,0.00757055,0.4884964,0.0,0.008163128,0.51121444,0.0,0.005592067,0.4567467,0.0,0.0060236403,0.45730564,0.0,0.007090487,0.42949316,0.0,0.009009015,0.44717494,0.0,0.009958023,0.44199663,0.0,0.0108202705,0.42475355,0.0,0.0110462895,0.41507915,0.0,0.011776444,0.40945205,0.0,0.013654005,0.4054067,0.0,0.01404311,0.4085565,0.0,0.014841935,0.39034486,0.0,0.017593296,0.38885266,0.0,0.017404905,0.39298117,0.0,0.018007627,0.37215334,0.0,0.0198155,0.3718,0.0,0.020159073,0.36354354,0.0,0.021462195,0.34966278,0.0,0.02133648,0.34332398,0.0,0.020237656,0.33394527,0.0,0.02257498,0.32363844,0.0,0.02524991,0.3204238,0.0,0.024421617,0.3060845,0.0,0.026433365,0.3024011,0.0,0.02735117,0.30493596,0.0,0.028254285,0.2977496,0.0,0.022098793,0.28419337,0.0,0.025731884,0.28608647,0.0,0.023436753,0.2834997,0.0,0.026639305,0.28019112,0.0,0.02550704,0.2743482,0.0,0.027504895,0.24256928,0.0,0.028662909,0.24806187,0.0,0.02609977,0.22577032,0.0,0.023781903,0.23053509,0.0,0.020217594,0.24082749,0.0
239,0.4679496,29.997465,0.0,0.0,0.0,0.0,0.013692942,0.71642303,0.0,0.014811984,0.79705817,0.0,0.015725754,0.8512137,0.0,0.016965013,0.9028381,0.0,0.018056616,0.9470988,0.0,0.019206727,0.9822713,0.0,0.019985652,1.0083002,0.0,0.020056566,1.0117202,0.0,0.020094974,1.0142783,0.0,0.01982613,1.0167166,0.0,0.019217402,1.0170991,0.0,0.018224936,1.0142795,0.0,0.016607823,1.0065788,0.0,0.013842304,0.9911404,0.0,0.008787982,0.96065485,0.0,-0.00022153165,0.9005026,0.0,-0.015907213,0.7839221,0.0,-0.040314768,0.58129597,0.0,-0.06914996,0.2989167,0.0,-0.043128908,0.2095332,0.0,-0.00398476,0.5310816,0.0,-0.0020428663,0.5214667,0.0,0.0012494972,0.48755768,0.0,0.00081642927,0.49778405,0.0,-0.0011634969,0.49343243,0.0,0.006118926,0.5525144,0.0,0.013070101,0.6238728,0.0,0.01933801,0.6006455,0.0,0.017325504,0.6042934,0.0,0.014819757,0.50914854,0.0,0.014595951,0.5335155,0.0,0.008953837,0.48081577,0.0,0.009519041,0.48251924,0.0,0.011226843,0.4552683,0.0,0.014481918,0.4735912,0.0,0.016522931,0.467682,0.0,0.019871395,0.45104095,0.0,0.018085966,0.44117644,0.0,0.01900177,0.4359314,0.0,0.025088452,0.43215597,0.0,0.024819998,0.437552,0.0,0.027809147,0.4189954,0.0,0.0279133,0.41828242,0.0,0.02833285,0.42332512,0.0,0.02833247,0.40406308,0.0,0.030511627,0.40338847,0.0,0.033361495,0.3963449,0.0,0.035232656,0.38461596,0.0,0.036005452,0.38012516,0.0,0.034681857,0.37005302,0.0,0.03958808,0.36102882,0.0,0.03846846,0.35706735,0.0,0.042784426,0.34635496,0.0,0.0435343,0.34271014,0.0,0.045192916,0.34419337,0.0,0.04261813,0.34133816,0.0,0.04529916,0.33248267,0.0,0.042659804,0.33619067,0.0,0.046019156,0.3344151,0.0,0.047546815,0.32947508,0.0,0.041523103,0.32546985,0.0,0.043302555,0.29535356,0.0,0.038832992,0.29990906,0.0,0.028900355,0.27946588,0.0,0.03228442,0.2867302,0.0,0.029270858,0.2916753,0.0
240,0.7019075,29.994297,0.0,0.0,0.0,0.0,0.020569675,0.71630466,0.0,0.02226228,0.79694587,0.0,0.023640193,0.85107267,0.0,0.02549019,0.9027521,0.0,0.027157063,0.9470393,0.0,0.02888523,0.9823233,0.0,0.030089047,1.0086547,0.0,0.030206006,1.0121921,0.0,0.030288428,1.0149252,0.0,0.029900422,1.0176004,0.0,0.029019209,1.0183333,0.0,0.02756851,1.0160452,0.0,0.025230903,1.0091558,0.0,0.021191945,0.9950244,0.0,0.013774334,0.96674615,0.0,0.0005481319,0.9104504,0.0,-0.022618564,0.8009424,0.0,-0.058639973,0.61081994,0.0,-0.101276636,0.34858963,0.0,-0.0632124,0.2677769,0.0,-0.004072414,0.56220883,0.0,-0.0012732743,0.5493386,0.0,0.0029085563,0.51478094,0.0,0.0025869026,0.52622765,0.0,6.6691224e-05,0.5243469,0.0,0.010703961,0.5841784,0.0,0.02133335,0.6532163,0.0,0.031194547,0.6301772,0.0,0.029161246,0.6316485,0.0,0.026153175,0.5414145,0.0,0.026771773,0.5662319,0.0,0.019320916,0.51706725,0.0,0.020435048,0.5199808,0.0,0.024210012,0.49617976,0.0,0.030456154,0.514004,0.0,0.032387912,0.50854427,0.0,0.036027517,0.49259478,0.0,0.036154483,0.48407432,0.0,0.037914213,0.4808042,0.0,0.04555695,0.47815356,0.0,0.045778688,0.48090854,0.0,0.050386358,0.46643627,0.0,0.05145186,0.46605074,0.0,0.053566843,0.4711487,0.0,0.058551658,0.45327076,0.0,0.059421897,0.45402917,0.0,0.059580695,0.446608,0.0,0.06457487,0.43665397,0.0,0.06571752,0.43202102,0.0,0.06509617,0.4237737,0.0,0.06875711,0.41659382,0.0,0.07058199,0.41560024,0.0,0.06819333,0.40351105,0.0,0.07383329,0.4029679,0.0,0.07651222,0.40580785,0.0,0.07347682,0.40052384,0.0,0.076512784,0.39321,0.0,0.07937442,0.39397034,0.0,0.076810956,0.39148703,0.0,0.083044685,0.3924552,0.0,0.08296854,0.3912358,0.0,0.088444196,0.3625712,0.0,0.087406635,0.36461455,0.0,0.07732522,0.3469011,0.0,0.0798189,0.3573499,0.0,0.07249386,0.3627361,0.0
241,0.9358445,29.989862,0.0,0.0,0.0,0.0,0.02745956,0.71611893,0.0,0.029729001,0.7967086,0.0,0.03154323,0.8508426,0.0,0.03402913,0.90258884,0.0,0.036249604,0.94694006,0.0,0.038580235,0.9823605,0.0,0.04024094,1.009099,0.0,0.040417723,1.0128074,0.0,0.040554874,1.0157702,0.0,0.040078063,1.0187712,0.0,0.038999826,1.0199747,0.0,0.03715054,1.0184063,0.0,0.03415771,1.0126339,0.0,0.028968928,1.0002841,0.0,0.019391863,0.974987,0.0,0.0022335094,0.9239505,0.0,-0.027856864,0.8238414,0.0,-0.074898496,0.65050423,0.0,-0.13034171,0.41290826,0.0,-0.08030665,0.3428083,0.0,-0.0034872037,0.6026665,0.0,-0.0019912184,0.58677024,0.0,0.0036675935,0.55431885,0.0,0.003532802,0.5660492,0.0,0.00010862691,0.56702626,0.0,0.014571028,0.62742627,0.0,0.028644124,0.695524,0.0,0.040706784,0.67073256,0.0,0.037604276,0.67241865,0.0,0.033124957,0.58588755,0.0,0.03294459,0.6118319,0.0,0.023020538,0.56738096,0.0,0.025376987,0.5719224,0.0,0.028391367,0.550257,0.0,0.036161344,0.568906,0.0,0.03989131,0.5634405,0.0,0.045135636,0.5486779,0.0,0.044969033,0.5404072,0.0,0.045222245,0.538423,0.0,0.054043476,0.53769433,0.0,0.055711847,0.5420644,0.0,0.057126954,0.52575994,0.0,0.06121549,0.5274407,0.0,0.06399452,0.5327788,0.0,0.06911374,0.51834744,0.0,0.07074328,0.5176763,0.0,0.07145395,0.51316684,0.0,0.0759613,0.50418115,0.0,0.07862415,0.5022342,0.0,0.07751337,0.4961396,0.0,0.08166071,0.48936248,0.0,0.08394463,0.48903432,0.0,0.08413378,0.48032045,0.0,0.088679634,0.47998926,0.0,0.089911155,0.4841876,0.0,0.093045406,0.4822241,0.0,0.097019464,0.47664136,0.0,0.09611108,0.4789624,0.0,0.09420238,0.47850826,0.0,0.10075297,0.4771583,0.0,0.10212674,0.4782978,0.0,0.1045288,0.4535831,0.0,0.10660232,0.4572622,0.0,0.095661856,0.44183683,0.0,0.09726141,0.45774648,0.0,0.08493165,0.46228462,0.0
242,1.169754,29.98416,0.0,0.0,0.0,0.0,0.03439984,0.715876,0.0,0.037238378,0.7964292,0.0,0.03950406,0.8505315,0.0,0.04262965,0.9023673,0.0,0.045429386,0.9467644,0.0,0.048399594,0.98236907,0.0,0.050571084,1.0095968,0.0,0.050826337,1.0135092,0.0,0.051050935,1.0167488,0.0,0.050530422,1.0201406,0.0,0.049254872,1.0219353,0.0,0.047077857,1.021263,0.0,0.043539602,1.0168504,0.0,0.037364826,1.0067043,0.0,0.025880791,0.9851423,0.0,0.0052263616,0.94058937,0.0,-0.031235103,0.8522053,0.0,-0.088232756,0.6987528,0.0,-0.15540467,0.4891278,0.0,-0.09328962,0.4296772,0.0,-0.003396834,0.65415674,0.0,0.0034825488,0.6337427,0.0,0.010086474,0.60229605,0.0,0.011133374,0.6155048,0.0,0.0069207433,0.619851,0.0,0.025181632,0.6807613,0.0,0.04242618,0.7451062,0.0,0.057014406,0.71965075,0.0,0.05251575,0.7200831,0.0,0.04719037,0.6404943,0.0,0.047885116,0.6673611,0.0,0.036323294,0.6285846,0.0,0.038281117,0.6363276,0.0,0.04184306,0.6183399,0.0,0.05322882,0.6365892,0.0,0.058278076,0.6328439,0.0,0.0633103,0.6196055,0.0,0.06468009,0.6137608,0.0,0.06657817,0.6138169,0.0,0.0757237,0.6139984,0.0,0.08104818,0.6182491,0.0,0.08132263,0.6054737,0.0,0.08772443,0.6085653,0.0,0.09132142,0.6150711,0.0,0.097346626,0.60218036,0.0,0.10020237,0.6036349,0.0,0.09865563,0.6007504,0.0,0.10563603,0.59293914,0.0,0.108836755,0.5933811,0.0,0.10712469,0.5893074,0.0,0.112054855,0.5854155,0.0,0.11318607,0.5865506,0.0,0.115969665,0.580445,0.0,0.11887141,0.58323807,0.0,0.120355934,0.5882128,0.0,0.11957938,0.58671254,0.0,0.1291688,0.5848233,0.0,0.1342528,0.5950575,0.0,0.13399681,0.5928614,0.0,0.13540824,0.5965721,0.0,0.1357859,0.5987337,0.0,0.13705462,0.56897813,0.0,0.1420584,0.5746744,0.0,0.12601578,0.5630524,0.0,0.13360952,0.57947266,0.0,0.12183273,0.58571184,0.0
243,1.4036295,29.977188,0.0,0.0,0.0,0.0,0.041374393,0.7155388,0.0,0.044782568,0.79605764,0.0,0.04750236,0.85014373,0.0,0.051266007,0.9020363,0.0,0.054664463,0.9464959,0.0,0.058280047,0.9822984,0.0,0.061038986,1.0101007,0.0,0.061407257,1.0142457,0.0,0.061745185,1.017809,0.0,0.061197598,1.0216615,0.0,0.059808604,1.0241488,0.0,0.05738662,1.0244961,0.0,0.053421546,1.0217042,0.0,0.046458106,1.0141376,0.0,0.03336954,0.9969144,0.0,0.009669117,0.959995,0.0,-0.03226885,0.88492334,0.0,-0.09830465,0.75438046,0.0,-0.17589383,0.57488006,0.0,-0.10209427,0.5279614,0.0,0.0050507486,0.7123758,0.0,0.010252545,0.6876312,0.0,0.0174404,0.6590179,0.0,0.017220201,0.67219406,0.0,0.012010009,0.6809159,0.0,0.033574123,0.7429864,0.0,0.05423273,0.80429626,0.0,0.07106129,0.77793247,0.0,0.06598714,0.77691233,0.0,0.060459215,0.7029173,0.0,0.061293982,0.7324666,0.0,0.046782065,0.69908553,0.0,0.04990145,0.70882094,0.0,0.05357597,0.69609314,0.0,0.06636468,0.71412665,0.0,0.072674036,0.70907307,0.0,0.079907194,0.6978103,0.0,0.082393326,0.69355464,0.0,0.08249794,0.6948848,0.0,0.09628384,0.69765216,0.0,0.10051179,0.7030909,0.0,0.101844266,0.6917015,0.0,0.11035108,0.6963066,0.0,0.11353877,0.70292926,0.0,0.11969217,0.69192237,0.0,0.12542972,0.69545746,0.0,0.12517287,0.6930488,0.0,0.13494192,0.69020855,0.0,0.14038706,0.68986607,0.0,0.14055383,0.68864757,0.0,0.14243175,0.6854816,0.0,0.14914781,0.68948007,0.0,0.15091313,0.6876978,0.0,0.15568964,0.6901258,0.0,0.16008142,0.6978664,0.0,0.16433215,0.6994632,0.0,0.16310303,0.69743353,0.0,0.17035007,0.7082734,0.0,0.17113979,0.7111941,0.0,0.17216592,0.7158487,0.0,0.17164454,0.72086895,0.0,0.17500092,0.69592816,0.0,0.17788358,0.70344937,0.0,0.16829385,0.70109636,0.0,0.17301752,0.7193759,0.0,0.16042037,0.73295933,0.0
