# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000000000000000000e+00,4.500000000000000111e-01
1.000000000000000000e+00,4.699999999999999734e-01
1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,5.100000000000000089e-01
1.000000000000000000e+00,5.200000000000000178e-01
1.000000000000000000e+00,5.500000000000000444e-01
1.199982074162770251e+00,5.999999999999999778e-01
1.214032568999890982e+00,6.199999999999999956e-01
1.257126658689054599e+00,6.500000000000000222e-01
1.292716536608794042e+00,6.999999999999999556e-01
1.307780522497208109e+00,7.199999999999999734e-01
1.328219429429167375e+00,7.500000000000000000e-01
1.340234905455597314e+00,7.700000000000000178e-01
1.361883080286847569e+00,8.000000000000000444e-01
1.386276955446961612e+00,8.199999999999999512e-01
1.409741705519271360e+00,8.499999999999999778e-01
1.421403429147223063e+00,8.699999999999999956e-01
1.439248967514042299e+00,9.000000000000000222e-01
1.449868754676092886e+00,9.200000000000000400e-01
1.471597172325189495e+00,9.699999999999999734e-01
1.482288608794739559e+00,9.899999999999999911e-01
