# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000000071283490000e+00,4.500000000000000111e-01
1.000012170551742408e+00,4.699999999999999734e-01
1.000712946425185157e+00,5.000000000000000000e-01
1.002325515025183966e+00,5.100000000000000089e-01
1.006996607433489954e+00,5.200000000000000178e-01
1.073877468383672484e+00,5.500000000000000444e-01
1.150844380303343906e+00,5.999999999999999778e-01
1.168047780239307443e+00,6.199999999999999956e-01
1.190942829879511944e+00,6.500000000000000222e-01
1.225936401224845262e+00,6.999999999999999556e-01
1.241075267024216444e+00,7.199999999999999734e-01
1.289084981035046651e+00,7.500000000000000000e-01
1.302129385051343125e+00,7.700000000000000178e-01
1.323189504897151814e+00,8.000000000000000444e-01
1.336511647705104000e+00,8.199999999999999512e-01
1.355813244810785800e+00,8.499999999999999778e-01
1.370360273643019822e+00,8.699999999999999956e-01
1.390473369503369083e+00,9.000000000000000222e-01
1.404583959290303108e+00,9.200000000000000400e-01
1.439241617464646072e+00,9.699999999999999734e-01
1.459078646120140377e+00,9.899999999999999911e-01
