# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000000998959253096e+00,4.500000000000000111e-01
1.000050132415763793e+00,4.699999999999999734e-01
1.002511335460207986e+00,5.000000000000000000e-01
1.007474041091670269e+00,5.100000000000000089e-01
1.017438158283241689e+00,5.200000000000000178e-01
1.073579137254205174e+00,5.500000000000000444e-01
1.112078168550412194e+00,5.999999999999999778e-01
1.134159191127795951e+00,6.199999999999999956e-01
1.144016646307566720e+00,6.500000000000000222e-01
1.155828760670563282e+00,6.999999999999999556e-01
1.158929484131951293e+00,7.199999999999999734e-01
1.165274129400856173e+00,7.500000000000000000e-01
1.168822300707712758e+00,7.700000000000000178e-01
1.175093282590063737e+00,8.000000000000000444e-01
1.178117429442898212e+00,8.199999999999999512e-01
1.183329572845747357e+00,8.499999999999999778e-01
1.186577220970639779e+00,8.699999999999999956e-01
1.192003279524274983e+00,9.000000000000000222e-01
1.195466289457287612e+00,9.200000000000000400e-01
1.206369291832765089e+00,9.699999999999999734e-01
1.210681855920954675e+00,9.899999999999999911e-01
