# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001068194518838e+00,4.500000000000000111e-01
1.000052572987937705e+00,4.699999999999999734e-01
1.002690074793973762e+00,5.000000000000000000e-01
1.008183684955947568e+00,5.100000000000000089e-01
1.021952282461792372e+00,5.200000000000000178e-01
1.099065247558548952e+00,5.500000000000000444e-01
1.181564626965597276e+00,5.999999999999999778e-01
1.197066522220797014e+00,6.199999999999999956e-01
1.241154941071171525e+00,6.500000000000000222e-01
1.288416769304475684e+00,6.999999999999999556e-01
1.305678242231955277e+00,7.199999999999999734e-01
1.328386644385428861e+00,7.500000000000000000e-01
1.343242345910668822e+00,7.700000000000000178e-01
1.364510141192544657e+00,8.000000000000000444e-01
1.380540195299291506e+00,8.199999999999999512e-01
1.405210897231109257e+00,8.499999999999999778e-01
1.421184478930691775e+00,8.699999999999999956e-01
1.461295060075882279e+00,9.000000000000000222e-01
1.477238589481530306e+00,9.200000000000000400e-01
1.511289209057508964e+00,9.699999999999999734e-01
1.524964777510160019e+00,9.899999999999999911e-01
