# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000001069838321932e+00,4.500000000000000111e-01
1.000052583781346316e+00,4.699999999999999734e-01
1.002690014013628783e+00,5.000000000000000000e-01
1.008032564271417408e+00,5.100000000000000089e-01
1.020038895071881058e+00,5.200000000000000178e-01
1.086455829967671871e+00,5.500000000000000444e-01
1.174764506296545274e+00,5.999999999999999778e-01
1.194362337558212417e+00,6.199999999999999956e-01
1.214131624122372966e+00,6.500000000000000222e-01
1.248218395142899118e+00,6.999999999999999556e-01
1.261309103409063104e+00,7.199999999999999734e-01
1.279744799034584712e+00,7.500000000000000000e-01
1.291775268301394108e+00,7.700000000000000178e-01
1.310087853922676571e+00,8.000000000000000444e-01
1.322063374599465879e+00,8.199999999999999512e-01
1.339430455581408719e+00,8.499999999999999778e-01
1.350565015438773608e+00,8.699999999999999956e-01
1.366266158161248301e+00,9.000000000000000222e-01
1.377185533172827547e+00,9.200000000000000400e-01
1.399082050750563466e+00,9.699999999999999734e-01
1.409269830710238036e+00,9.899999999999999911e-01
