# GI,SimTime
1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
1.000000000000000000e+00,3.499999999999999778e-01
1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,4.199999999999999845e-01
1.000000998690039777e+00,4.500000000000000111e-01
1.000050169812962686e+00,4.699999999999999734e-01
1.002513070213735924e+00,5.000000000000000000e-01
1.007648458799730751e+00,5.100000000000000089e-01
1.020304525304865262e+00,5.200000000000000178e-01
1.100824385129184568e+00,5.500000000000000444e-01
1.185004710305693987e+00,5.999999999999999778e-01
1.199693873332225991e+00,6.199999999999999956e-01
1.245950492784667185e+00,6.500000000000000222e-01
1.289243505477629670e+00,6.999999999999999556e-01
1.304456536992385285e+00,7.199999999999999734e-01
1.327781775924929741e+00,7.500000000000000000e-01
1.342197702392613268e+00,7.700000000000000178e-01
1.364354987641695161e+00,8.000000000000000444e-01
1.379496494682941998e+00,8.199999999999999512e-01
1.400841718204112851e+00,8.499999999999999778e-01
1.415359128379914511e+00,8.699999999999999956e-01
1.435260033504616173e+00,9.000000000000000222e-01
1.449963517450303829e+00,9.200000000000000400e-01
1.518833094530740002e+00,9.699999999999999734e-01
1.532069382900798749e+00,9.899999999999999911e-01
